zone_id,ring_start,ring_end_exclusive,n_rings,rings,inner_T,outer_T,interval,size,bx,by,bz,n_pool,R_pool,R_min,low_sample_rings
0,0,1,1,0-0,0,32,"[0,32)",32x32x8,32,32,8,42,1.0,1.0,1
1,1,5,4,1-4,32,160,"[32,160)",4x8x8,4,8,8,188390,0.982945,0.973641,0
2,5,7,2,5-6,160,224,"[160,224)",8x8x8,8,8,8,76698,0.980209,0.977427,0
3,7,11,4,7-10,224,352,"[224,352)",8x16x8,8,16,8,72718,0.981229,0.976398,0
4,11,14,3,11-13,352,448,"[352,448)",16x16x8,16,16,8,25267,0.982705,0.977359,0
5,14,16,2,14-15,448,512,"[448,512)",16x32x8,16,32,8,8803,0.979212,0.974375,0
6,16,22,6,16-21,512,inf,"[512, inf)",32x32x8,32,32,8,11469,0.984131,0.971348,0
