frame_id,n_blocks,n_le_limit,coverage,reshape_frac,mean_nb,p95_nb,max_nb
000000,504,464,0.9206349206349206,0.07936507936507936,42.45436507936508,175.39999999999986,511
000001,732,720,0.9836065573770492,0.01639344262295082,28.83606557377049,79.0,213
000002,441,409,0.927437641723356,0.07256235827664399,49.811791383219955,178.0,422
000003,502,466,0.9282868525896414,0.07171314741035857,42.32868525896414,158.69999999999993,304
000004,737,734,0.9959294436906377,0.004070556309362279,27.310719131614654,70.39999999999986,200
000005,693,687,0.9913419913419913,0.008658008658008658,28.83116883116883,72.0,240
000006,727,712,0.9793672627235214,0.02063273727647868,31.686382393397523,81.79999999999973,347
000007,828,825,0.9963768115942029,0.0036231884057971015,24.607487922705314,64.64999999999998,174
000008,562,544,0.9679715302491103,0.03202846975088968,32.13879003558719,105.0,389
000009,738,735,0.9959349593495935,0.0040650406504065045,26.52710027100271,65.0,174
000010,697,689,0.9885222381635581,0.011477761836441894,26.65136298421808,72.19999999999993,277
000011,667,654,0.9805097451274363,0.019490254872563718,33.14992503748126,84.39999999999986,341
000012,694,690,0.9942363112391931,0.005763688760806916,25.84149855907781,64.35000000000002,211
000013,866,858,0.9907621247113164,0.009237875288683603,22.997690531177827,73.0,194
000014,809,804,0.9938195302843016,0.006180469715698393,24.77750309023486,78.0,249
000015,674,656,0.973293768545994,0.026706231454005934,29.18694362017804,99.0,303
000016,700,689,0.9842857142857143,0.015714285714285715,29.81,85.0,260
000017,738,736,0.997289972899729,0.0027100271002710027,26.962059620596207,67.14999999999998,257
000018,733,728,0.9931787175989086,0.0068212824010914054,24.64392905866303,69.39999999999998,197
000019,467,442,0.9464668094218416,0.05353319057815846,40.82226980728051,129.7,485
000020,515,483,0.9378640776699029,0.062135922330097085,43.5378640776699,155.0,413
000021,549,527,0.9599271402550091,0.04007285974499089,40.854280510018214,113.60000000000002,391
000022,593,575,0.96964586846543,0.03035413153456998,32.98482293423272,97.19999999999993,512
000023,745,736,0.9879194630872483,0.012080536912751677,28.54496644295302,74.79999999999995,276
000024,653,640,0.9800918836140888,0.019908116385911178,33.73200612557427,94.39999999999998,265
000025,513,492,0.9590643274853801,0.04093567251461988,35.7037037037037,109.0,330
000026,518,497,0.9594594594594594,0.04054054054054054,39.075289575289574,111.29999999999995,438
000027,476,461,0.9684873949579832,0.031512605042016806,33.997899159663866,95.25,345
000028,514,476,0.9260700389105059,0.07392996108949416,41.6556420233463,162.0499999999999,509
000029,486,459,0.9444444444444444,0.05555555555555555,44.64609053497942,134.75,473
000030,443,416,0.9390519187358917,0.060948081264108354,45.128668171557564,132.89999999999998,361
000031,593,569,0.9595278246205734,0.04047217537942664,35.45699831365936,101.19999999999993,397
000032,612,593,0.9689542483660131,0.03104575163398693,35.23366013071895,103.79999999999973,367
000033,688,688,1.0,0.0,25.578488372093023,65.0,105
000034,722,714,0.9889196675900277,0.0110803324099723,30.05540166204986,79.0,181
000035,827,808,0.9770253929866989,0.022974607013301087,27.70253929866989,82.0,324
000036,724,719,0.9930939226519337,0.006906077348066298,22.26243093922652,62.0,305
000037,495,483,0.9757575757575757,0.024242424242424242,36.7939393939394,108.19999999999982,286
000038,730,722,0.989041095890411,0.010958904109589041,25.58082191780822,73.0,219
000039,446,424,0.9506726457399103,0.04932735426008968,44.23094170403587,124.75,442
000040,664,651,0.9804216867469879,0.01957831325301205,32.20331325301205,83.85000000000002,342
000041,780,773,0.9910256410256411,0.008974358974358974,28.252564102564104,77.14999999999986,173
000042,698,683,0.9785100286532952,0.02148997134670487,31.067335243553007,75.14999999999998,426
000043,636,611,0.960691823899371,0.03930817610062893,36.7437106918239,116.5,465
000044,891,882,0.98989898989899,0.010101010101010102,22.92929292929293,72.5,203
000045,720,716,0.9944444444444445,0.005555555555555556,28.543055555555554,72.14999999999986,174
000046,586,573,0.9778156996587031,0.02218430034129693,34.00682593856655,93.0,391
000047,570,549,0.9631578947368421,0.03684210526315789,35.85087719298246,114.39999999999964,315
