zone_id,ring_start,ring_end_exclusive,n_rings,inner_T,outer_T,size,bx,by,bz,n_samples_pooled,coverage_pooled,coverage_min_ring
0,0,1,1,0,64,8x16x16,8,16,16,87,0.988506,0.988506
1,1,2,1,64,128,8x8x16,8,8,16,7177,0.970322,0.970322
2,2,4,2,128,256,16x16x16,16,16,16,40456,0.966828,0.962130
3,4,6,2,256,384,16x32x16,16,32,16,34011,0.974861,0.962070
4,6,8,2,384,512,32x64x16,32,64,16,12508,0.971298,0.960705
5,8,22,14,512,*,64x64x16,64,64,16,35355,0.994173,0.969349
