zone_id,inner_T,outer_T,size,bx,by,bz,note
0,0,32,8x16x8,8,16,8,Table-I style initial Stage1
1,32,256,8x8x8,8,8,8,Table-I style initial Stage1
2,256,384,8x16x8,8,16,8,Table-I style initial Stage1
3,384,inf,32x32x8,32,32,8,Table-I style initial Stage1 remainder
