scope,bin_lo,bin_hi,bin_label,n_blocks,pct
all,1,16,1-16,68440,0.3161653631697841
all,17,32,17-32,54541,0.2519575551233664
all,33,48,33-48,39010,0.180210561327488
all,49,64,49-64,25039,0.11567014214506464
all,65,80,65-80,14478,0.06688255593179623
all,81,96,81-96,6119,0.02826732696136629
all,97,112,97-112,3781,0.017466704239406106
all,113,128,113-128,2168,0.010015290873058035
all,129,144,129-144,1313,0.006065533632991329
all,145,160,145-160,711,0.003284534968055472
all,161,176,161-176,381,0.001760067261363059
all,177,192,177-192,206,0.0009516374169049609
all,193,208,193-208,102,0.00047119910934129134
all,209,224,209-224,70,0.00032337193778323917
all,225,240,225-240,39,0.0001801643653363761
all,241,256,241-256,24,0.00011087037866853914
all,257,272,257-272,22,0.00010163118044616088
all,273,288,273-288,7,3.233719377832392e-05
all,289,304,289-304,4,1.8478396444756524e-05
all,305,320,305-320,5,2.3097995555945655e-05
all,321,336,321-336,2,9.239198222378262e-06
all,337,352,337-352,3,1.3858797333567392e-05
all,353,368,353-368,2,9.239198222378262e-06
all,369,384,369-384,1,4.619599111189131e-06
all,385,400,385-400,0,0.0
all,401,416,401-416,1,4.619599111189131e-06
zone0,1,16,1-16,21884,0.22634327972281118
zone0,17,32,17-32,22048,0.2280395097481512
zone0,33,48,33-48,20613,0.213197497026426
zone0,49,64,49-64,15913,0.16458602678802295
zone0,65,80,65-80,9467,0.09791591249935357
zone0,81,96,81-96,2960,0.03061488338418576
zone0,97,112,97-112,1809,0.018710244608781092
zone0,113,128,113-128,983,0.010167037286031959
zone0,129,144,129-144,562,0.005812690696592026
zone0,145,160,145-160,262,0.0027098308941407665
zone0,161,176,161-176,124,0.0012825153850131873
zone0,177,192,177-192,42,0.0004344003723431763
zone0,193,208,193-208,11,0.00011377152608987951
zone0,209,224,209-224,5,5.171433004085432e-05
zone0,225,240,225-240,2,2.0685732016341727e-05
zone0,241,256,241-256,0,0.0
zone0,257,272,257-272,0,0.0
zone0,273,288,273-288,0,0.0
zone0,289,304,289-304,0,0.0
zone0,305,320,305-320,0,0.0
zone0,321,336,321-336,0,0.0
zone0,337,352,337-352,0,0.0
zone0,353,368,353-368,0,0.0
zone0,369,384,369-384,0,0.0
zone0,385,400,385-400,0,0.0
zone0,401,416,401-416,0,0.0
zone1,1,16,1-16,20745,0.33398267701323375
zone1,17,32,17-32,19059,0.3068390378980584
zone1,33,48,33-48,9947,0.16014103100750232
zone1,49,64,49-64,5127,0.08254177802105805
zone1,65,80,65-80,2771,0.04461152075216537
zone1,81,96,81-96,1778,0.02862478668255144
zone1,97,112,97-112,1092,0.017580577647551276
zone1,113,128,113-128,685,0.011028109604919985
zone1,129,144,129-144,397,0.00639147374182954
zone1,145,160,145-160,225,0.0036223717680394112
zone1,161,176,161-176,125,0.0020124287600218954
zone1,177,192,177-192,71,0.0011430595356924365
zone1,193,208,193-208,35,0.0005634800528061307
zone1,209,224,209-224,28,0.00045078404224490454
zone1,225,240,225-240,14,0.00022539202112245227
zone1,241,256,241-256,6,9.659658048105097e-05
zone1,257,272,257-272,8,0.00012879544064140129
zone1,273,288,273-288,0,0.0
zone1,289,304,289-304,0,0.0
zone1,305,320,305-320,1,1.609943008017516e-05
zone1,321,336,321-336,0,0.0
zone1,337,352,337-352,0,0.0
zone1,353,368,353-368,0,0.0
zone1,369,384,369-384,0,0.0
zone1,385,400,385-400,0,0.0
zone1,401,416,401-416,0,0.0
zone2,1,16,1-16,21609,0.44424571358085607
zone2,17,32,17-32,11490,0.236215616134205
zone2,33,48,33-48,7368,0.1514740347847539
zone2,49,64,49-64,3380,0.06948727437194194
zone2,65,80,65-80,1842,0.03786850869618848
zone2,81,96,81-96,1125,0.023128160848649316
zone2,97,112,97-112,730,0.015007606595123556
zone2,113,128,113-128,394,0.008099995888326961
zone2,129,144,129-144,259,0.005324616586489042
zone2,145,160,145-160,168,0.003453805353398298
zone2,161,176,161-176,93,0.0019119279634883435
zone2,177,192,177-192,68,0.0013979688335183586
zone2,193,208,193-208,34,0.0006989844167591793
zone2,209,224,209-224,28,0.000575634225566383
zone2,225,240,225-240,16,0.0003289338431807903
zone2,241,256,241-256,12,0.0002467003823855927
zone2,257,272,257-272,13,0.0002672587475843921
zone2,273,288,273-288,3,6.167509559639817e-05
zone2,289,304,289-304,3,6.167509559639817e-05
zone2,305,320,305-320,2,4.1116730397598784e-05
zone2,321,336,321-336,1,2.0558365198799392e-05
zone2,337,352,337-352,3,6.167509559639817e-05
zone2,353,368,353-368,1,2.0558365198799392e-05
zone2,369,384,369-384,0,0.0
zone2,385,400,385-400,0,0.0
zone2,401,416,401-416,0,0.0
zone3,1,16,1-16,4202,0.46544085068675234
zone3,17,32,17-32,1944,0.2153300841825432
zone3,33,48,33-48,1082,0.11984935755427559
zone3,49,64,49-64,619,0.06856446610544971
zone3,65,80,65-80,398,0.04408506867523261
zone3,81,96,81-96,256,0.028356225077536552
zone3,97,112,97-112,150,0.016614975631369076
zone3,113,128,113-128,106,0.011741249446167478
zone3,129,144,129-144,95,0.01052281789986708
zone3,145,160,145-160,56,0.006202924235711121
zone3,161,176,161-176,39,0.004319893664155959
zone3,177,192,177-192,25,0.002769162605228179
zone3,193,208,193-208,22,0.0024368630926007973
zone3,209,224,209-224,9,0.0009968985378821444
zone3,225,240,225-240,7,0.0007753655294638901
zone3,241,256,241-256,6,0.000664599025254763
zone3,257,272,257-272,1,0.00011076650420912716
zone3,273,288,273-288,4,0.00044306601683650863
zone3,289,304,289-304,1,0.00011076650420912716
zone3,305,320,305-320,2,0.00022153300841825432
zone3,321,336,321-336,1,0.00011076650420912716
zone3,337,352,337-352,0,0.0
zone3,353,368,353-368,1,0.00011076650420912716
zone3,369,384,369-384,1,0.00011076650420912716
zone3,385,400,385-400,0,0.0
zone3,401,416,401-416,1,0.00011076650420912716
