layer_id,module_name,cout_channel,bias_int,bias_bits_needed,shift,sx,sw,sy,real_multiplier,pow2_multiplier,relative_error,relu_en,rounding_en
3,conv2.1.0,0,-2624,13,11,0.13493476808071136,0.0005262834602035582,0.11948297172784805,0.0005943435756605818,0.00048828125,0.17845288483634922,True,True
3,conv2.1.0,1,-1709,12,9,0.13493476808071136,0.0019098363118246198,0.11948297172784805,0.002156820474763208,0.001953125,0.09444248009819704,True,True
3,conv2.1.0,2,6067,14,9,0.13493476808071136,0.002093446208164096,0.11948297172784805,0.0023641752000568062,0.001953125,0.1738662177180987,True,True
3,conv2.1.0,3,4275,14,10,0.13493476808071136,0.0010425399523228407,0.11948297172784805,0.0011773634740352805,0.0009765625,0.17055138745476603,True,True
3,conv2.1.0,4,6705,14,9,0.13493476808071136,0.001529413159005344,0.11948297172784805,0.0017272001769426618,0.001953125,0.1308040759104428,True,True
3,conv2.1.0,5,5050,14,9,0.13493476808071136,0.0012721266830340028,0.11948297172784805,0.001436640857372232,0.001953125,0.359508181865628,True,True
3,conv2.1.0,6,2785,13,10,0.13493476808071136,0.0010197825031355023,0.11948297172784805,0.0011516629822932731,0.0009765625,0.15204142616844435,True,True
3,conv2.1.0,7,4182,14,10,0.13493476808071136,0.0006967691006138921,0.11948297172784805,0.0007868767878597079,0.0009765625,0.24106151695773642,True,True
3,conv2.1.0,8,3457,13,9,0.13493476808071136,0.0012645816896110773,0.11948297172784805,0.0014281201290795688,0.001953125,0.36761954420374965,True,True
3,conv2.1.0,9,4189,14,9,0.13493476808071136,0.0021169278770685196,0.11948297172784805,0.0023906935691762445,0.001953125,0.18302996871615648,True,True
3,conv2.1.0,10,3906,13,9,0.13493476808071136,0.002251294907182455,0.11948297172784805,0.002542437234268666,0.001953125,0.23179027836971638,True,True
3,conv2.1.0,11,-1758,12,10,0.13493476808071136,0.0008597270352765918,0.11948297172784805,0.0009709087951210252,0.0009765625,0.005823106050110611,True,True
3,conv2.1.0,12,-1515,12,10,0.13493476808071136,0.0010731266811490059,0.11948297172784805,0.0012119057447942214,0.0009765625,0.19419269675479764,True,True
3,conv2.1.0,13,6215,14,9,0.13493476808071136,0.0012878909474238753,0.11948297172784805,0.0014544437905320766,0.001953125,0.342867295879129,True,True
3,conv2.1.0,14,2189,13,9,0.13493476808071136,0.0013080850476399064,0.11948297172784805,0.0014772494354691257,0.001953125,0.32213623041917216,True,True
3,conv2.1.0,15,4024,13,9,0.13493476808071136,0.0013745389878749847,0.11948297172784805,0.0015522973429993652,0.001953125,0.25821577213174335,True,True
3,conv2.1.0,16,-4537,14,9,0.13493476808071136,0.0020202710293233395,0.11948297172784805,0.00228153684880595,0.001953125,0.14394325867575852,True,True
3,conv2.1.0,17,3360,13,9,0.13493476808071136,0.0018736431375145912,0.11948297172784805,0.0021159467208633443,0.001953125,0.07694982073882756,True,True
3,conv2.1.0,18,4830,14,10,0.13493476808071136,0.0006509236409328878,0.11948297172784805,0.0007351024941662066,0.0009765625,0.32847121013739794,True,True
3,conv2.1.0,19,6980,14,10,0.13493476808071136,0.0009595244191586971,0.11948297172784805,0.0010836121925546448,0.0009765625,0.0987896715173279,True,True
3,conv2.1.0,20,6288,14,10,0.13493476808071136,0.0009094463894143701,0.11948297172784805,0.0010270579636819225,0.0009765625,0.04916515471132732,True,True
3,conv2.1.0,21,1223,12,9,0.13493476808071136,0.0013426614459604025,0.11948297172784805,0.0015162973284113049,0.001953125,0.2880884002126283,True,True
3,conv2.1.0,22,3761,13,9,0.13493476808071136,0.0012632946018129587,0.11948297172784805,0.0014266665923033475,0.001953125,0.3690129218254754,True,True
3,conv2.1.0,23,2746,13,10,0.13493476808071136,0.0011708535021170974,0.11948297172784805,0.0013222708096390322,0.0009765625,0.2614504586495465,True,True
3,conv2.1.0,24,4949,14,10,0.13493476808071136,0.0011288117384538054,0.11948297172784805,0.0012747921141598821,0.0009765625,0.2339437237234735,True,True
3,conv2.1.0,25,4346,14,8,0.13493476808071136,0.002617806661874056,0.11948297172784805,0.0029563470818644564,0.00390625,0.3213096743486816,True,True
3,conv2.1.0,26,3667,13,9,0.13493476808071136,0.0020932999905198812,0.11948297172784805,0.002364010073230564,0.001953125,0.17380851202087502,True,True
3,conv2.1.0,27,4134,14,9,0.13493476808071136,0.0012416329700499773,0.11948297172784805,0.0014022036314653352,0.001953125,0.3928968347906354,True,True
3,conv2.1.0,28,5845,14,9,0.13493476808071136,0.0014736778102815151,0.11948297172784805,0.0016642570123628795,0.001953125,0.17357174131836245,True,True
3,conv2.1.0,29,3544,13,10,0.13493476808071136,0.0009279476362280548,0.11948297172784805,0.0010479518317528878,0.0009765625,0.06812272242845008,True,True
3,conv2.1.0,30,3774,13,9,0.13493476808071136,0.001565207028761506,0.11948297172784805,0.001767622987360033,0.001953125,0.1049443314363186,True,True
3,conv2.1.0,31,-1264,12,10,0.13493476808071136,0.0008253486594185233,0.11948297172784805,0.0009320845333344495,0.0009765625,0.047718812054990865,True,True
