frame_id,n_blocks,n_le_limit,coverage,reshape_frac,mean_nb,p95_nb,max_nb
000000,1294,1216,0.9397217928902627,0.06027820710973725,39.12982998454405,140.0,401
000001,2384,2349,0.9853187919463087,0.014681208053691275,29.32256711409396,80.84999999999991,307
000002,978,958,0.9795501022494888,0.02044989775051125,37.899795501022496,110.14999999999998,273
000003,1046,1001,0.9569789674952199,0.043021032504780114,40.297323135755256,125.75,217
000004,2662,2636,0.9902329075882795,0.009767092411720512,26.79038317054846,70.0,243
000005,2365,2329,0.9847780126849894,0.01522198731501057,32.06046511627907,78.0,356
000006,2217,2176,0.9815065403698692,0.01849345963013081,28.260712674785747,77.19999999999982,264
000007,2893,2868,0.9913584514344971,0.008641548565502939,26.217767023850673,67.0,313
000008,1389,1356,0.9762419006479481,0.023758099352051837,32.61051115910727,104.59999999999991,219
000009,2705,2680,0.9907578558225508,0.009242144177449169,26.846580406654343,64.0,228
000010,2035,2014,0.9896805896805897,0.010319410319410319,28.83783783783784,74.0,217
000011,2009,1970,0.9805873568939771,0.019412643106022896,29.554504728720758,79.59999999999991,321
000012,1751,1724,0.9845802398629354,0.015419760137064534,27.788121073672187,67.5,294
000013,2515,2466,0.9805168986083499,0.0194831013916501,29.5662027833002,91.29999999999973,314
000014,2560,2521,0.984765625,0.015234375,29.678515625,86.0,273
000015,1713,1667,0.9731465265615878,0.026853473438412143,30.838879159369526,94.39999999999986,272
000016,1944,1925,0.9902263374485597,0.00977366255144033,28.641460905349795,80.0,240
000017,2731,2710,0.9923105089710729,0.007689491028927133,25.413767850604174,66.0,295
000018,1969,1947,0.9888268156424581,0.0111731843575419,28.247841543930928,72.0,297
000019,1114,1083,0.9721723518850988,0.027827648114901255,35.27109515260323,99.69999999999982,303
000020,1650,1591,0.9642424242424242,0.03575757575757576,35.72666666666667,117.54999999999995,260
000021,1610,1582,0.9826086956521739,0.017391304347826087,32.36024844720497,92.0,220
000022,1388,1335,0.9618155619596542,0.03818443804034582,37.59005763688761,109.64999999999986,313
000023,2375,2342,0.9861052631578947,0.013894736842105264,29.262736842105262,83.0,301
000024,1817,1764,0.9708310401761144,0.029168959823885527,35.79196477710512,104.0,258
000025,1327,1277,0.9623210248681235,0.037678975131876416,34.16654107008289,110.10000000000014,287
000026,1632,1590,0.9742647058823529,0.025735294117647058,33.27205882352941,93.0,301
000027,1552,1511,0.9735824742268041,0.026417525773195876,32.27126288659794,95.0,299
