zone_id,ring_start,ring_end_exclusive,n_rings,rings,inner_T,outer_T,interval,size,bx,by,bz,n_pool,R_pool,R_min,low_sample_rings
0,0,1,1,0-0,0,32,"[0,32)",32x32x8,32,32,8,42,1.0,1.0,1
1,1,5,4,1-4,32,160,"[32,160)",8x4x8,8,4,8,188362,0.980421,0.973357,0
2,5,7,2,5-6,160,224,"[160,224)",8x8x8,8,8,8,76698,0.980209,0.977427,0
3,7,11,4,7-10,224,352,"[224,352)",16x8x8,16,8,8,75351,0.978567,0.970476,0
4,11,15,4,11-14,352,480,"[352,480)",16x16x8,16,16,8,31892,0.983946,0.977359,0
5,15,16,1,15-15,480,512,"[480,512)",32x16x8,32,16,8,3923,0.979353,0.979353,0
6,16,22,6,16-21,512,inf,"[512, inf)",32x32x8,32,32,8,11469,0.984131,0.971348,0
