zone_id,ring_start,ring_end_exclusive,n_rings,rings,inner_T,outer_T,interval,size,bx,by,bz,n_pool,R_pool,R_min,low_sample_rings
0,0,1,1,0-0,0,16,"[0,16)",16x16x8,16,16,8,65,1.0,1.0,0
1,1,2,1,1-1,16,32,"[16,32)",8x4x8,8,4,8,2642,0.975776,0.975776,0
2,2,5,3,2-4,32,80,"[32,80)",4x4x8,4,4,8,64330,0.986756,0.983314,0
3,5,8,3,5-7,80,128,"[80,128)",8x4x8,8,4,8,47155,0.973682,0.960397,0
4,8,13,5,8-12,128,208,"[128,208)",8x8x8,8,8,8,42072,0.973403,0.962697,0
5,13,17,4,13-16,208,272,"[208,272)",16x8x8,16,8,8,15941,0.968822,0.961691,0
6,17,22,5,17-21,272,inf,"[272, inf)",16x16x8,16,16,8,9028,0.970093,0.961868,0
