zone_id,ring_start,ring_end_exclusive,n_rings,inner_T,outer_T,size,bx,by,bz,n_samples_pooled,coverage_pooled,coverage_min_ring
0,0,1,1,0,64,8x16x16,8,16,16,87,0.988506,0.988506
1,1,2,1,64,128,8x8x16,8,8,16,7177,0.970322,0.970322
2,2,3,1,128,192,8x16x16,8,16,16,30026,0.982215,0.982215
3,3,5,2,192,320,16x16x16,16,16,16,52590,0.977220,0.970031
4,5,6,1,320,384,16x32x16,16,32,16,17454,0.986994,0.986994
5,6,7,1,384,448,32x32x16,32,32,16,9888,0.980583,0.980583
6,7,9,2,448,576,32x64x16,32,64,16,12522,0.986823,0.981657
7,9,22,13,576,*,64x64x16,64,64,16,31701,0.997035,0.984598
