layer_id,module_name,cout_channel,bias_int,bias_bits_needed,shift,sx,sw,sy,real_multiplier,pow2_multiplier,relative_error,relu_en,rounding_en
5,conv3.0.0,0,181,9,10,0.10343006253242493,0.0016404434572905302,0.14825761318206787,0.0011444347829888647,0.0009765625,0.1466857574447718,True,True
5,conv3.0.0,1,1472,12,10,0.10343006253242493,0.0013500741915777326,0.14825761318206787,0.0009418623102127986,0.0009765625,0.03684210463773781,True,True
5,conv3.0.0,2,247,9,10,0.10343006253242493,0.001260889694094658,0.14825761318206787,0.0008796438652128152,0.0009765625,0.11017940171018753,True,True
5,conv3.0.0,3,634,11,10,0.10343006253242493,0.0012502613244578242,0.14825761318206787,0.0008722291165698201,0.0009765625,0.1196169463368611,True,True
5,conv3.0.0,4,1194,12,10,0.10343006253242493,0.0015861395513638854,0.14825761318206787,0.0011065503447789343,0.0009765625,0.11747124330335208,True,True
5,conv3.0.0,5,-3101,13,10,0.10343006253242493,0.0010712245712056756,0.14825761318206787,0.0007473263733850145,0.0009765625,0.30674165234750184,True,True
5,conv3.0.0,6,-1041,12,10,0.10343006253242493,0.0011505120201036334,0.14825761318206787,0.000802640266692344,0.0009765625,0.21668765015289385,True,True
5,conv3.0.0,7,-3061,13,10,0.10343006253242493,0.0018644080264493823,0.14825761318206787,0.0013006808528935533,0.0009765625,0.2491913002121197,True,True
5,conv3.0.0,8,560,11,10,0.10343006253242493,0.00134983379393816,0.14825761318206787,0.0009416945998176291,0.0009765625,0.03702676025658793,True,True
5,conv3.0.0,9,293,10,10,0.10343006253242493,0.0010420926846563816,0.14825761318206787,0.0007270028784709239,0.0009765625,0.3432718479106506,True,True
5,conv3.0.0,10,4375,14,10,0.10343006253242493,0.0013633259804919362,0.14825761318206787,0.0009511072543788656,0.0009765625,0.026763801352517616,True,True
5,conv3.0.0,11,-320,10,10,0.10343006253242493,0.0010617740917950869,0.14825761318206787,0.0007407333650705059,0.0009765625,0.31837250223911134,True,True
5,conv3.0.0,12,62,7,10,0.10343006253242493,0.0011923267738893628,0.14825761318206787,0.0008318118047065487,0.0009765625,0.1740185634231499,True,True
5,conv3.0.0,13,-895,11,11,0.10343006253242493,0.0009518099832348526,0.14825761318206787,0.0006640182852807074,0.00048828125,0.2646569216183802,True,True
5,conv3.0.0,14,-57,7,10,0.10343006253242493,0.0010131883900612593,0.14825761318206787,0.0007068381602263518,0.0009765625,0.3815927817016472,True,True
5,conv3.0.0,15,757,11,10,0.10343006253242493,0.0015101141761988401,0.14825761318206787,0.0010535121962575822,0.0009765625,0.07304110624531211,True,True
5,conv3.0.0,16,5500,14,10,0.10343006253242493,0.0017193604726344347,0.14825761318206787,0.0011994902479778265,0.0009765625,0.18585207203947815,True,True
5,conv3.0.0,17,1564,12,10,0.10343006253242493,0.0015979564050212502,0.14825761318206787,0.0011147942243779996,0.0009765625,0.12399752470472844,True,True
5,conv3.0.0,18,6457,14,10,0.10343006253242493,0.001285198493860662,0.14825761318206787,0.0008966025941841117,0.0009765625,0.08918098869505287,True,True
5,conv3.0.0,19,-1763,12,11,0.10343006253242493,0.000897866440936923,0.14825761318206787,0.0006263852502321559,0.00048828125,0.22047773344115412,True,True
5,conv3.0.0,20,-1488,12,10,0.10343006253242493,0.001137440325692296,0.14825761318206787,0.0007935209631952005,0.0009765625,0.23067007085453972,True,True
