layer_name,layer_type,indice_key,spatial_shape_zyx,feature_shape_nc,feature_channels,total_cells,active_voxels,sparsity,active_ratio_vs_prev,active_ratio_vs_input
input_voxelized,InputSparseTensor,,41x1600x1408,15000x4,4,92364800,15000,0.0001623995288248337,1.0,1.0
conv_input.0,SubMConv3d,subm1,41x1600x1408,15000x16,16,92364800,15000,0.0001623995288248337,1.0,1.0
conv1.0.0,SubMConv3d,subm1,41x1600x1408,15000x16,16,92364800,15000,0.0001623995288248337,1.0,1.0
conv2.0.0,SparseConv3d,spconv2,21x800x704,23441x32,32,11827200,23441,0.0019819568452380952,1.5627333333333333,1.5627333333333333
conv2.1.0,SubMConv3d,subm2,21x800x704,23441x32,32,11827200,23441,0.0019819568452380952,1.0,1.5627333333333333
conv2.2.0,SubMConv3d,subm2,21x800x704,23441x32,32,11827200,23441,0.0019819568452380952,1.0,1.5627333333333333
conv3.0.0,SparseConv3d,spconv3,11x400x352,13337x64,64,1548800,13337,0.00861118285123967,0.568960368584958,0.8891333333333333
conv3.1.0,SubMConv3d,subm3,11x400x352,13337x64,64,1548800,13337,0.00861118285123967,1.0,0.8891333333333333
conv3.2.0,SubMConv3d,subm3,11x400x352,13337x64,64,1548800,13337,0.00861118285123967,1.0,0.8891333333333333
conv4.0.0,SparseConv3d,spconv4,5x200x176,5651x64,64,176000,5651,0.032107954545454544,0.4237084801679538,0.3767333333333333
conv4.1.0,SubMConv3d,subm4,5x200x176,5651x64,64,176000,5651,0.032107954545454544,1.0,0.3767333333333333
conv4.2.0,SubMConv3d,subm4,5x200x176,5651x64,64,176000,5651,0.032107954545454544,1.0,0.3767333333333333
conv_out.0,SparseConv3d,spconv_down2,2x200x176,4032x128,128,70400,4032,0.057272727272727274,0.7135020350380463,0.2688
