layer_name,layer_type,indice_key,spatial_shape_zyx,feature_shape_nc,feature_channels,total_cells,active_voxels,sparsity,active_ratio_vs_prev,active_ratio_vs_input
input_voxelized,InputSparseTensor,,41x1600x1408,15000x4,4,92364800,15000,0.0001623995288248337,1.0,1.0
conv_input.0,SubMConv3d,subm1,41x1600x1408,15000x16,16,92364800,15000,0.0001623995288248337,1.0,1.0
conv1.0.0,SubMConv3d,subm1,41x1600x1408,15000x16,16,92364800,15000,0.0001623995288248337,1.0,1.0
conv2.0.0,SparseConv3d,spconv2,21x800x704,31445x32,32,11827200,31445,0.002658701975108225,2.0963333333333334,2.0963333333333334
conv2.1.0,SubMConv3d,subm2,21x800x704,31445x32,32,11827200,31445,0.002658701975108225,1.0,2.0963333333333334
conv2.2.0,SubMConv3d,subm2,21x800x704,31445x32,32,11827200,31445,0.002658701975108225,1.0,2.0963333333333334
conv3.0.0,SparseConv3d,spconv3,11x400x352,23660x64,64,1548800,23660,0.015276342975206612,0.7524248688185721,1.5773333333333333
conv3.1.0,SubMConv3d,subm3,11x400x352,23660x64,64,1548800,23660,0.015276342975206612,1.0,1.5773333333333333
conv3.2.0,SubMConv3d,subm3,11x400x352,23660x64,64,1548800,23660,0.015276342975206612,1.0,1.5773333333333333
conv4.0.0,SparseConv3d,spconv4,5x200x176,12403x64,64,176000,12403,0.07047159090909091,0.524218089602705,0.8268666666666666
conv4.1.0,SubMConv3d,subm4,5x200x176,12403x64,64,176000,12403,0.07047159090909091,1.0,0.8268666666666666
conv4.2.0,SubMConv3d,subm4,5x200x176,12403x64,64,176000,12403,0.07047159090909091,1.0,0.8268666666666666
conv_out.0,SparseConv3d,spconv_down2,2x200x176,9216x128,128,70400,9216,0.13090909090909092,0.7430460372490526,0.6144
