ring_j,inner_T,outer_T,Bstar,bx,by,bz,n_samples_at_Bstar,coverage_at_Bstar,low_sample,note
0,0,16,16x8x8,16,8,8,679,0.989691,0,
1,16,32,4x4x8,4,4,8,9444,0.997353,0,
2,32,48,4x4x8,4,4,8,12843,0.995017,0,
3,48,64,4x4x8,4,4,8,14476,0.998480,0,
4,64,80,8x4x8,8,4,8,7971,0.980053,0,
5,80,96,8x4x8,8,4,8,8011,0.989889,0,
6,96,112,8x8x8,8,8,8,4339,0.971192,0,
7,112,128,8x8x8,8,8,8,3914,0.977772,0,
8,128,144,8x8x8,8,8,8,3320,0.989458,0,
9,144,160,8x8x8,8,8,8,2798,0.991422,0,
10,160,176,16x8x8,16,8,8,1451,0.979325,0,
