zone_id,inner_T,outer_T,size,bx,by,bz,note
0,0,16,16x8x8,16,8,8,manual4 innermost
1,16,64,4x4x8,4,4,8,manual4 near-field
2,64,96,8x4x8,8,4,8,manual4
3,96,inf,8x8x8,8,8,8,manual4 remainder
