frame_id,n_blocks,n_le_limit,coverage,reshape_frac,mean_nb,p95_nb,max_nb
000000,825,756,0.9163636363636364,0.08363636363636363,52.723636363636366,174.0,448
000001,1909,1855,0.9717129387113672,0.028287061288632794,33.3855421686747,100.59999999999991,421
000002,744,704,0.946236559139785,0.053763440860215055,44.83064516129032,130.85000000000002,402
000003,735,675,0.9183673469387755,0.08163265306122448,50.67755102040816,166.29999999999995,307
000004,2180,2147,0.9848623853211009,0.015137614678899083,30.513761467889907,84.0,243
000005,1931,1893,0.9803210771620922,0.01967892283790782,36.87105126877265,94.0,356
000006,1719,1670,0.9714950552646888,0.028504944735311226,33.37230948225713,94.0,297
000007,2440,2416,0.9901639344262295,0.009836065573770493,29.2344262295082,81.04999999999973,313
000008,1067,1011,0.9475164011246485,0.05248359887535145,38.13308341143393,129.69999999999993,302
000009,2201,2175,0.9881871876419809,0.011812812358019082,30.758291685597456,81.0,228
000010,1594,1558,0.9774153074027604,0.02258469259723965,33.173776662484315,102.34999999999991,228
000011,1550,1511,0.9748387096774194,0.025161290322580646,35.623225806451615,101.0,321
000012,1520,1498,0.9855263157894737,0.014473684210526316,30.510526315789473,76.0,294
000013,2079,2008,0.9658489658489658,0.034151034151034154,32.68590668590669,114.0,328
000014,2093,2036,0.9727663640707119,0.027233635929288104,33.72384137601529,99.0,322
000015,1305,1241,0.9509578544061302,0.04904214559386973,35.85823754789272,123.59999999999991,346
000016,1556,1520,0.9768637532133676,0.02313624678663239,32.80141388174807,98.0,240
000017,2204,2177,0.9877495462794919,0.012250453720508167,29.32214156079855,80.0,295
000018,1623,1596,0.9833641404805915,0.0166358595194085,31.841035120147875,93.0,297
000019,872,834,0.9564220183486238,0.04357798165137615,40.50344036697248,124.0,491
000020,1232,1149,0.9326298701298701,0.06737012987012987,43.49107142857143,154.45000000000005,291
000021,1165,1130,0.9699570815450643,0.030042918454935622,40.1793991416309,116.59999999999991,268
000022,1164,1114,0.9570446735395189,0.0429553264604811,41.59278350515464,121.39999999999964,478
000023,1904,1846,0.9695378151260504,0.03046218487394958,33.35451680672269,101.0,438
000024,1385,1318,0.9516245487364621,0.04837545126353791,42.64476534296029,125.79999999999995,392
000025,1026,961,0.9366471734892787,0.06335282651072124,39.83723196881092,142.5,380
000026,1264,1221,0.9659810126582279,0.03401898734177215,39.423259493670884,112.69999999999982,301
000027,1222,1169,0.9566284779050737,0.04337152209492635,38.10556464811784,123.95000000000005,339
000028,821,754,0.9183922046285018,0.08160779537149818,52.56272838002436,179.0,445
000029,879,836,0.9510807736063709,0.048919226393629126,44.100113765642774,128.0,323
000030,763,703,0.9213630406290957,0.07863695937090433,42.53866317169069,153.0,375
000031,1386,1327,0.9574314574314574,0.04256854256854257,39.35281385281385,118.75,397
000032,1153,1096,0.9505637467476149,0.049436253252385085,42.25845620121422,128.0,313
000033,1832,1812,0.9890829694323144,0.010917030567685589,31.801855895196507,90.0,265
000034,1759,1714,0.9744172825469016,0.025582717453098352,36.75099488345651,106.0,273
000035,1752,1698,0.9691780821917808,0.030821917808219176,34.855593607305934,112.44999999999982,373
000036,1470,1462,0.9945578231292517,0.005442176870748299,23.381632653061224,64.0,306
000037,899,819,0.9110122358175751,0.08898776418242492,50.449388209121246,151.0999999999999,326
000038,1684,1652,0.9809976247030879,0.019002375296912115,31.97209026128266,98.0,280
000039,955,914,0.9570680628272251,0.04293193717277487,41.42513089005236,120.0,265
000040,1707,1642,0.9619214997070885,0.038078500292911543,38.023432923257175,116.09999999999945,310
000041,2071,2020,0.975374215354901,0.024625784645098986,33.77064220183486,103.5,267
000042,1673,1619,0.9677226539151226,0.032277346084877465,35.03407053197848,105.0,449
000043,1272,1218,0.9575471698113207,0.04245283018867924,39.0998427672956,114.45000000000005,328
000044,2172,2113,0.9728360957642725,0.02716390423572744,28.789594843462247,104.0,322
000045,2005,1981,0.9880299251870324,0.011970074812967581,32.993017456359105,91.79999999999995,271
000046,1485,1440,0.9696969696969697,0.030303030303030304,34.56498316498317,112.0,424
000047,1296,1206,0.9305555555555556,0.06944444444444445,43.11805555555556,141.25,351
000048,1378,1333,0.967343976777939,0.03265602322206096,33.067489114658926,110.29999999999973,510
000049,1277,1228,0.961628817541112,0.03837118245888802,36.52858261550509,121.20000000000005,288
000050,892,840,0.9417040358744395,0.05829596412556054,47.55829596412556,134.0,297
000051,1877,1852,0.986680873734683,0.013319126265316995,30.39584443260522,84.0,304
000052,1400,1366,0.9757142857142858,0.024285714285714285,35.12285714285714,106.0,353
000053,1138,1098,0.9648506151142355,0.0351493848857645,34.5,108.0,322
000054,838,770,0.918854415274463,0.081145584725537,52.91050119331742,189.7499999999999,473
000055,2162,2133,0.986586493987049,0.01341350601295097,30.1840888066605,86.0,247
000056,2439,2395,0.981959819598196,0.018040180401804017,27.92127921279213,90.09999999999991,261
000057,1007,925,0.9185700099304865,0.0814299900695134,46.00695134061569,159.0,318
000058,849,782,0.9210836277974087,0.07891637220259129,51.26737338044759,177.5999999999999,435
000059,2203,2178,0.9886518384021789,0.011348161597821153,28.174307762142533,77.0,276
000060,2080,2051,0.9860576923076924,0.013942307692307693,34.51298076923077,98.0,226
000061,1161,1102,0.9491817398794143,0.050818260120585705,41.96468561584841,130.0,349
000062,1181,1123,0.9508890770533446,0.04911092294665537,39.87044877222693,126.0,343
000063,1051,1012,0.9628924833491912,0.037107516650808754,38.74690770694576,113.5,371
000064,1857,1827,0.9838449111470113,0.01615508885298869,30.339256865912763,87.0,298
000065,908,854,0.9405286343612335,0.05947136563876652,45.27753303964758,134.29999999999995,292
000066,1306,1246,0.9540581929555896,0.045941807044410414,38.32159264931087,120.0,362
000067,1341,1300,0.9694258016405667,0.030574198359433258,36.75988068605518,108.0,233
000068,1110,1065,0.9594594594594594,0.04054054054054054,38.32432432432432,118.54999999999995,266
000069,1915,1878,0.9806788511749347,0.019321148825065273,33.773368146214096,101.29999999999995,287
000070,825,760,0.9212121212121213,0.07878787878787878,52.237575757575755,179.5999999999999,485
000071,2020,1984,0.9821782178217822,0.01782178217821782,34.58613861386139,96.04999999999995,351
000072,2079,2042,0.9822029822029822,0.017797017797017797,31.22895622895623,101.0,206
000073,1268,1216,0.9589905362776026,0.04100946372239748,38.81072555205047,119.29999999999973,314
000074,1107,1042,0.941282746160795,0.05871725383920506,41.55645889792231,137.0,319
000075,1181,1099,0.930567315834039,0.06943268416596104,40.383573243014396,146.0,319
000076,1074,1016,0.9459962756052142,0.054003724394785846,40.96182495344507,136.3499999999999,317
000077,1244,1184,0.9517684887459807,0.04823151125401929,40.22909967845659,126.84999999999991,368
000078,1103,1036,0.9392565729827742,0.06074342701722575,40.61468721668178,137.0,462
000079,1362,1325,0.972834067547724,0.027165932452276064,35.40088105726872,108.0,242
000080,2337,2310,0.9884467265725289,0.011553273427471117,31.84338896020539,94.0,304
000081,1678,1647,0.9815256257449344,0.018474374255065554,34.13766388557807,95.29999999999973,289
000082,1875,1829,0.9754666666666667,0.024533333333333334,35.4464,96.0,309
000083,1864,1789,0.9597639484978541,0.040236051502145924,33.46459227467811,115.84999999999991,354
000084,958,893,0.9321503131524008,0.06784968684759916,44.36743215031315,141.0,544
000085,1399,1348,0.9635453895639743,0.036454610436025735,36.44746247319514,111.0,337
000086,1337,1294,0.9678384442782348,0.03216155572176515,35.03590127150336,108.20000000000005,354
000087,2082,2053,0.9860710854947167,0.013928914505283382,32.094140249759846,94.94999999999982,245
000088,1861,1815,0.9752821063944116,0.024717893605588393,34.8635142396561,105.0,346
000089,772,736,0.9533678756476683,0.046632124352331605,40.454663212435236,121.89999999999986,363
000090,1150,1075,0.9347826086956522,0.06521739130434782,44.97826086956522,151.54999999999995,561
000091,1881,1863,0.9904306220095693,0.009569377990430622,29.9197235513025,84.0,260
000092,1708,1664,0.9742388758782201,0.02576112412177986,33.27166276346604,94.0,304
000093,1402,1364,0.9728958630527818,0.02710413694721826,36.328815977175466,112.0,357
000094,749,703,0.9385847797062751,0.06141522029372497,49.16822429906542,142.0000000000001,288
000095,1423,1384,0.9725931131412509,0.027406886858749122,36.48208011243851,108.0,299
000096,1159,1118,0.9646246764452114,0.03537532355478861,37.71009490940466,114.09999999999991,287
000097,2177,2162,0.9931097841065687,0.006890215893431328,32.628847037207166,90.0,185
000098,1181,1132,0.9585097375105842,0.04149026248941575,39.33869602032176,122.0,464
000099,1364,1346,0.9868035190615836,0.013196480938416423,26.662023460410555,85.84999999999991,208
000100,1349,1302,0.9651593773165308,0.034840622683469234,36.57153446997776,110.59999999999991,347
000101,2013,1997,0.9920516641828118,0.007948335817188276,29.169398907103826,76.0,191
000102,1187,1111,0.9359730412805392,0.06402695871946082,42.58887952822241,146.4000000000001,432
000103,815,749,0.9190184049079755,0.08098159509202454,52.84417177914111,178.29999999999995,453
000104,1752,1698,0.9691780821917808,0.030821917808219176,33.09132420091324,110.44999999999982,231
000105,2163,2134,0.9865926953305594,0.013407304669440592,28.12621359223301,82.0,216
000106,1845,1801,0.9761517615176152,0.023848238482384824,34.021138211382116,106.0,243
000107,1216,1159,0.953125,0.046875,38.7796052631579,122.5,262
000108,1332,1288,0.9669669669669669,0.03303303303303303,37.650150150150154,115.45000000000005,373
000109,823,756,0.9185905224787363,0.08140947752126367,52.72539489671932,183.69999999999993,415
000110,1316,1279,0.9718844984802432,0.02811550151975684,36.63297872340426,100.5,341
000111,1856,1817,0.9789870689655172,0.02101293103448276,33.28609913793103,94.0,275
000112,1465,1426,0.9733788395904437,0.026621160409556314,35.40136518771331,101.0,298
000113,1659,1614,0.972875226039783,0.027124773960216998,34.19590114526823,108.0,355
000114,1678,1646,0.9809296781883194,0.01907032181168057,31.308104886769964,95.14999999999986,276
000115,2153,2102,0.9763121226196005,0.023687877380399444,33.29307942405945,100.0,253
000116,1145,1089,0.9510917030567686,0.04890829694323144,39.10218340611354,127.79999999999995,446
000117,1640,1592,0.9707317073170731,0.02926829268292683,33.80609756097561,104.09999999999991,403
000118,905,852,0.9414364640883978,0.05856353591160221,44.540331491712706,135.5999999999999,332
000119,1338,1256,0.9387144992526159,0.061285500747384154,42.12406576980568,140.0,470
000120,1411,1372,0.9723600283486888,0.027639971651311126,35.58540042523033,102.0,286
000121,1799,1775,0.9866592551417455,0.013340744858254585,30.925514174541412,84.0,176
000122,1516,1471,0.9703166226912929,0.029683377308707123,35.24472295514512,102.0,398
000123,2019,1958,0.9697870232788509,0.030212976721149084,34.934125804853885,104.0,294
000124,1684,1653,0.9815914489311164,0.01840855106888361,31.80106888361045,87.84999999999991,550
000125,1914,1898,0.9916405433646813,0.008359456635318705,26.707941483803552,71.0,311
000126,1262,1218,0.96513470681458,0.03486529318541997,41.3026941362916,115.90000000000009,330
000127,1862,1828,0.9817400644468314,0.018259935553168637,33.19011815252417,93.94999999999982,262
000128,1983,1945,0.9808371154815936,0.019162884518406455,32.55068078668684,94.0,334
000129,1927,1895,0.9833938764919564,0.01660612350804359,34.419823559937726,96.0,252
000130,812,744,0.916256157635468,0.08374384236453201,53.25615763546798,184.79999999999973,448
000131,1788,1749,0.9781879194630873,0.02181208053691275,33.119127516778526,106.94999999999959,320
000132,1361,1262,0.9272593681116826,0.07274063188831742,46.45701689933872,153.0,472
000133,2015,1979,0.9821339950372209,0.017866004962779156,32.479404466501244,94.0,376
000134,1711,1674,0.978375219170076,0.02162478082992402,33.587375803623615,97.0,268
000135,1647,1617,0.9817850637522769,0.018214936247723135,35.50758955676989,102.0,258
000136,1344,1282,0.9538690476190477,0.046130952380952384,37.517857142857146,122.84999999999991,374
000137,1852,1798,0.9708423326133909,0.029157667386609073,32.799676025917925,101.0,389
000138,2181,2157,0.9889958734525447,0.011004126547455296,30.9569005043558,92.0,241
000139,2047,2010,0.9819247679531021,0.0180752320468979,31.7542745481192,91.0,382
000140,1266,1218,0.9620853080568721,0.037914691943127965,39.636650868878355,113.0,389
000141,2101,2047,0.974297953355545,0.02570204664445502,33.85245121370776,109.0,387
000142,992,957,0.9647177419354839,0.03528225806451613,37.07459677419355,118.89999999999986,267
000143,1654,1649,0.9969770253929867,0.003022974607013301,23.507859733978236,62.34999999999991,253
000144,1481,1441,0.9729912221471978,0.02700877785280216,35.900067521944635,107.0,247
000145,1978,1945,0.9833164812942367,0.016683518705763397,31.02881698685541,90.14999999999986,312
000146,1136,1099,0.9674295774647887,0.032570422535211266,36.47447183098591,115.0,303
000147,1107,1065,0.962059620596206,0.037940379403794036,42.12014453477868,118.70000000000005,351
000148,2215,2185,0.9864559819413092,0.013544018058690745,29.230699774266366,78.0,297
000149,1393,1360,0.9763101220387652,0.023689877961234746,35.374012921751614,103.39999999999986,288
000150,2297,2259,0.9834566826295168,0.01654331737048324,30.0047888550283,86.0,273
000151,1908,1872,0.9811320754716981,0.018867924528301886,30.80607966457023,83.64999999999986,188
000152,994,953,0.9587525150905433,0.04124748490945674,39.92655935613682,122.34999999999991,310
000153,1181,1119,0.947502116850127,0.05249788314987299,41.37087214225233,132.0,294
000154,1826,1796,0.9835706462212487,0.01642935377875137,32.046549835706465,86.0,245
000155,1855,1830,0.9865229110512129,0.013477088948787063,29.8900269541779,81.0,338
000156,791,721,0.911504424778761,0.08849557522123894,53.32237673830594,186.5,448
000157,1302,1255,0.9639016897081413,0.03609831029185868,34.18970814132104,113.95000000000005,413
