layer_id,module_name,cout_channel,bias_int,bias_bits_needed,shift,sx,sw,sy,real_multiplier,pow2_multiplier,relative_error,relu_en,rounding_en
4,conv2.2.0,0,5532,14,10,0.11948297172784805,0.0008710312540642917,0.10343006253242493,0.00100622005010206,0.0009765625,0.029474218983265035,True,True
4,conv2.2.0,1,4565,14,8,0.11948297172784805,0.0025029589887708426,0.10343006253242493,0.002891431860031171,0.00390625,0.3509742539662991,True,True
4,conv2.2.0,2,-798,11,10,0.11948297172784805,0.0009764919523149729,0.10343006253242493,0.001128048823274608,0.0009765625,0.1342905733768322,True,True
4,conv2.2.0,3,-226,9,10,0.11948297172784805,0.0009227151749655604,0.10343006253242493,0.0010659255971029106,0.0009765625,0.08383614892614592,True,True
4,conv2.2.0,4,908,11,9,0.11948297172784805,0.002032921649515629,0.10343006253242493,0.0023484421649446266,0.001953125,0.1683316586823196,True,True
4,conv2.2.0,5,4244,14,9,0.11948297172784805,0.0012653794838115573,0.10343006253242493,0.0014617732735282584,0.001953125,0.33613401980306695,True,True
4,conv2.2.0,6,1825,12,9,0.11948297172784805,0.0012337821535766125,0.10343006253242493,0.0014252718654975533,0.001953125,0.3703525953753227,True,True
4,conv2.2.0,7,-155,9,9,0.11948297172784805,0.0020833220332860947,0.10343006253242493,0.0024066649628592214,0.001953125,0.1884516415281986,True,True
4,conv2.2.0,8,-974,11,10,0.11948297172784805,0.000797378015704453,0.10343006253242493,0.0009211354278835033,0.0009765625,0.06017255491285548,True,True
4,conv2.2.0,9,675,11,9,0.11948297172784805,0.0017637175042182207,0.10343006253242493,0.0020374560696640016,0.001953125,0.041390374457452056,True,True
4,conv2.2.0,10,-1921,12,10,0.11948297172784805,0.0009241636726073921,0.10343006253242493,0.0010675989094702176,0.0009765625,0.08527210796364829,True,True
4,conv2.2.0,11,3019,13,9,0.11948297172784805,0.0014333869330585003,0.10343006253242493,0.0016558563942084498,0.001953125,0.1795255958374662,True,True
4,conv2.2.0,12,4142,14,9,0.11948297172784805,0.0018172824056819081,0.10343006253242493,0.0020993345356582023,0.001953125,0.0696456582668285,True,True
4,conv2.2.0,13,-1855,12,9,0.11948297172784805,0.0014767458196729422,0.10343006253242493,0.0017059448162460968,0.001953125,0.14489342292901308,True,True
4,conv2.2.0,14,4243,14,9,0.11948297172784805,0.0015182346105575562,0.10343006253242493,0.0017538728935083037,0.001953125,0.11360692512507492,True,True
4,conv2.2.0,15,-1198,12,9,0.11948297172784805,0.001223500818014145,0.10343006253242493,0.0014133948106427358,0.001953125,0.3818679574122846,True,True
4,conv2.2.0,16,1938,12,8,0.11948297172784805,0.00243631680496037,0.10343006253242493,0.0028144464462244987,0.00390625,0.38792834563973505,True,True
4,conv2.2.0,17,-1265,12,9,0.11948297172784805,0.001743303146213293,0.10343006253242493,0.0020138732920786137,0.001953125,0.030164902785871157,True,True
4,conv2.2.0,18,5201,14,9,0.11948297172784805,0.0017865189583972096,0.10343006253242493,0.002063796433754644,0.001953125,0.05362516958772937,True,True
4,conv2.2.0,19,1358,12,10,0.11948297172784805,0.0007028545369394124,0.10343006253242493,0.0008119413902470996,0.0009765625,0.2027499912312649,True,True
4,conv2.2.0,20,3847,13,9,0.11948297172784805,0.0018258941126987338,0.10343006253242493,0.002109282826520903,0.001953125,0.07403361206826546,True,True
4,conv2.2.0,21,1027,12,9,0.11948297172784805,0.0017181733855977654,0.10343006253242493,0.0019848432557077918,0.001953125,0.015980231998965123,True,True
4,conv2.2.0,22,5980,14,10,0.11948297172784805,0.001173910335637629,0.10343006253242493,0.0013561076152308015,0.0009765625,0.2798783156793977,True,True
4,conv2.2.0,23,3652,13,9,0.11948297172784805,0.0013713844818994403,0.10343006253242493,0.0015842308248381054,0.001953125,0.23285380474754513,True,True
4,conv2.2.0,24,1916,12,10,0.11948297172784805,0.0008977703982964158,0.10343006253242493,0.001037109255194749,0.0009765625,0.058380305538185115,True,True
4,conv2.2.0,25,2042,12,9,0.11948297172784805,0.0014630311634391546,0.10343006253242493,0.001690101570646926,0.001953125,0.15562581203471432,True,True
4,conv2.2.0,26,-1591,12,10,0.11948297172784805,0.001186012290418148,0.10343006253242493,0.0013700878593251057,0.0009765625,0.2872263677447322,True,True
4,conv2.2.0,27,797,11,10,0.11948297172784805,0.0009322252590209246,0.10343006253242493,0.0010769116980149187,0.0009765625,0.0931823827337871,True,True
4,conv2.2.0,28,2305,13,9,0.11948297172784805,0.002360947895795107,0.10343006253242493,0.0027273798717444846,0.001953125,0.2838823002859724,True,True
4,conv2.2.0,29,1522,12,9,0.11948297172784805,0.0012292705941945314,0.10343006253242493,0.001420060087520249,0.001953125,0.37538194134489394,True,True
4,conv2.2.0,30,2609,13,10,0.11948297172784805,0.0010721494909375906,0.10343006253242493,0.0012385529330368801,0.0009765625,0.2115294599436219,True,True
4,conv2.2.0,31,869,11,9,0.11948297172784805,0.0015784724382683635,0.10343006253242493,0.0018234599602574995,0.001953125,0.07110934299000997,True,True
