scope,bin_lo,bin_hi,bin_label,n_blocks,pct
zone2,369,384,369-384,1,3.391440005426304e-05
zone2,385,400,385-400,0,0.0
zone2,401,416,401-416,1,3.391440005426304e-05
zone2,417,432,417-432,0,0.0
zone2,433,448,433-448,0,0.0
zone2,449,464,449-464,0,0.0
zone2,465,480,465-480,0,0.0
zone2,481,496,481-496,0,0.0
zone2,497,512,497-512,0,0.0
zone3,1,16,1-16,21833,0.6887164442762058
zone3,17,32,17-32,6070,0.191476609570676
zone3,33,48,33-48,2161,0.06816819658685846
zone3,49,64,49-64,736,0.023216933219772248
zone3,65,80,65-80,422,0.013311882905902022
zone3,81,96,81-96,216,0.006813665184063594
zone3,97,112,97-112,102,0.0032175641146966975
zone3,113,128,113-128,67,0.002113497996908615
zone3,129,144,129-144,39,0.001230245102678149
zone3,145,160,145-160,16,0.0005047159395602663
zone3,161,176,161-176,17,0.0005362606857827829
zone3,177,192,177-192,10,0.0003154474622251664
zone3,193,208,193-208,4,0.00012617898489006657
zone3,209,224,209-224,3,9.463423866754992e-05
zone3,225,240,225-240,0,0.0
zone3,241,256,241-256,0,0.0
zone3,257,272,257-272,2,6.308949244503328e-05
zone3,273,288,273-288,0,0.0
zone3,289,304,289-304,1,3.154474622251664e-05
zone3,305,320,305-320,0,0.0
zone3,321,336,321-336,0,0.0
zone3,337,352,337-352,1,3.154474622251664e-05
zone3,353,368,353-368,1,3.154474622251664e-05
zone3,369,384,369-384,0,0.0
zone3,385,400,385-400,0,0.0
zone3,401,416,401-416,0,0.0
zone3,417,432,417-432,0,0.0
zone3,433,448,433-448,0,0.0
zone3,449,464,449-464,0,0.0
zone3,465,480,465-480,0,0.0
zone3,481,496,481-496,0,0.0
zone3,497,512,497-512,0,0.0
