ring_j,inner_T,outer_T,size,bx,by,bz,n_samples,coverage_Rjk,p95_nb,reshape_frac,mean_nb,max_nb,passes_q
0,0,16,4x4x8,4,4,8,163,1.000000,32.80,0.000000,11.56,56,1
0,0,16,8x4x8,8,4,8,138,1.000000,37.00,0.000000,12.51,62,1
0,0,16,8x8x8,8,8,8,82,1.000000,40.90,0.000000,16.76,64,1
0,0,16,16x8x8,16,8,8,82,1.000000,40.90,0.000000,16.76,64,1
0,0,16,16x16x8,16,16,8,65,1.000000,47.40,0.000000,17.89,70,1
1,16,32,4x4x8,4,4,8,3680,0.995652,77.00,0.004348,25.59,164,1
1,16,32,8x4x8,8,4,8,2642,0.975776,101.95,0.024224,30.94,254,1
1,16,32,8x8x8,8,8,8,1599,0.941213,135.10,0.058787,42.69,318,0
1,16,32,16x8x8,16,8,8,1323,0.918367,166.00,0.081633,49.01,404,0
1,16,32,16x16x8,16,16,8,810,0.830864,207.55,0.169136,72.70,448,0
2,32,48,4x4x8,4,4,8,15451,0.989515,92.00,0.010485,47.84,185,1
2,32,48,8x4x8,8,4,8,8517,0.927791,145.00,0.072209,72.46,283,0
2,32,48,8x8x8,8,8,8,4851,0.579674,219.00,0.420326,105.82,437,0
2,32,48,16x8x8,16,8,8,2758,0.463379,371.15,0.536621,165.94,700,0
2,32,48,16x16x8,16,16,8,1569,0.435309,627.60,0.564691,263.78,867,0
3,48,64,4x4x8,4,4,8,22114,0.983314,98.00,0.016686,46.21,209,1
3,48,64,8x4x8,8,4,8,11817,0.908522,154.00,0.091478,71.90,314,0
3,48,64,8x8x8,8,8,8,6405,0.563622,230.00,0.436378,110.29,487,0
3,48,64,16x8x8,16,8,8,3549,0.400958,391.60,0.599042,180.58,769,0
3,48,64,16x16x8,16,16,8,2116,0.409263,629.00,0.590737,272.79,1061,0
4,64,80,4x4x8,4,4,8,26765,0.988007,93.00,0.011993,41.02,217,1
4,64,80,8x4x8,8,4,8,14315,0.926930,145.00,0.073070,63.88,339,0
4,64,80,8x8x8,8,8,8,7797,0.694113,216.00,0.305887,97.58,487,0
4,64,80,16x8x8,16,8,8,4285,0.447375,366.80,0.552625,159.33,806,0
4,64,80,16x16x8,16,16,8,2493,0.375852,584.00,0.624148,246.69,1086,0
5,80,96,4x4x8,4,4,8,28512,0.995090,79.00,0.004910,31.19,239,1
5,80,96,8x4x8,8,4,8,15504,0.960397,120.00,0.039603,47.75,359,0
5,80,96,8x8x8,8,8,8,8615,0.871851,176.00,0.128149,71.41,585,0
5,80,96,16x8x8,16,8,8,4862,0.583299,288.00,0.416701,114.25,712,0
5,80,96,16x16x8,16,16,8,2782,0.439971,448.00,0.560029,180.28,1118,0
6,96,112,4x4x8,4,4,8,28284,0.996818,71.00,0.003182,26.21,202,1
6,96,112,8x4x8,8,4,8,15682,0.974939,106.00,0.025061,39.49,320,1
6,96,112,8x8x8,8,8,8,8775,0.919316,153.30,0.080684,58.72,430,0
6,96,112,16x8x8,16,8,8,4853,0.740161,244.00,0.259839,95.09,673,0
6,96,112,16x16x8,16,16,8,2793,0.491586,376.00,0.508414,149.03,824,0
7,112,128,4x4x8,4,4,8,27948,0.998783,63.00,0.001217,23.02,178,1
7,112,128,8x4x8,8,4,8,15969,0.985347,93.00,0.014653,33.55,266,1
7,112,128,8x8x8,8,8,8,9021,0.946126,132.00,0.053874,49.39,372,0
7,112,128,16x8x8,16,8,8,5085,0.816323,208.00,0.183677,78.69,588,0
7,112,128,16x16x8,16,16,8,2967,0.578699,314.70,0.421301,121.62,779,0
8,128,144,4x4x8,4,4,8,25445,0.999135,59.00,0.000865,21.14,212,1
8,128,144,8x4x8,8,4,8,15473,0.990176,85.00,0.009824,29.01,265,1
8,128,144,8x8x8,8,8,8,8900,0.962697,117.00,0.037303,41.96,324,0
8,128,144,16x8x8,16,8,8,5133,0.871810,182.00,0.128190,65.63,491,0
8,128,144,16x16x8,16,16,8,3011,0.683826,273.50,0.316174,100.98,850,0
9,144,160,4x4x8,4,4,8,24373,0.999220,58.00,0.000780,20.44,163,1
9,144,160,8x4x8,8,4,8,15036,0.991155,82.00,0.008845,27.62,235,1
9,144,160,8x8x8,8,8,8,8843,0.966301,111.00,0.033699,39.10,363,0
9,144,160,16x8x8,16,8,8,5251,0.898115,170.00,0.101885,59.20,469,0
9,144,160,16x16x8,16,16,8,3112,0.748072,251.00,0.251928,89.84,592,0
10,160,176,4x4x8,4,4,8,22602,0.999115,55.00,0.000885,19.18,168,1
10,160,176,8x4x8,8,4,8,14142,0.993212,77.00,0.006788,25.60,220,1
10,160,176,8x8x8,8,8,8,8449,0.974316,103.00,0.025684,35.65,337,1
10,160,176,16x8x8,16,8,8,5171,0.917424,154.00,0.082576,52.19,469,0
10,160,176,16x16x8,16,16,8,3114,0.815350,224.00,0.184650,78.20,732,0
11,176,192,4x4x8,4,4,8,21353,0.999298,51.00,0.000702,18.16,172,1
11,176,192,8x4x8,8,4,8,13414,0.994260,72.00,0.005740,24.10,254,1
11,176,192,8x8x8,8,8,8,8080,0.979208,96.00,0.020792,33.27,358,1
11,176,192,16x8x8,16,8,8,5027,0.933957,142.00,0.066043,47.85,446,0
11,176,192,16x16x8,16,16,8,3053,0.849001,202.00,0.150999,71.01,643,0
12,192,208,4x4x8,4,4,8,20020,0.999500,48.00,0.000500,16.35,164,1
12,192,208,8x4x8,8,4,8,12724,0.996463,65.00,0.003537,21.48,221,1
12,192,208,8x8x8,8,8,8,7800,0.986667,87.00,0.013333,29.21,349,1
12,192,208,16x8x8,16,8,8,4963,0.953859,124.00,0.046141,41.35,458,0
12,192,208,16x16x8,16,16,8,3049,0.888488,179.00,0.111512,60.41,605,0
13,208,224,4x4x8,4,4,8,17412,0.999541,46.00,0.000459,15.56,165,1
13,208,224,8x4x8,8,4,8,11220,0.996970,61.00,0.003030,20.26,243,1
13,208,224,8x8x8,8,8,8,6974,0.987812,82.00,0.012188,27.00,271,1
13,208,224,16x8x8,16,8,8,4542,0.961691,115.00,0.038309,37.32,420,0
13,208,224,16x16x8,16,16,8,2869,0.910770,159.60,0.089230,53.10,529,0
14,224,240,4x4x8,4,4,8,15706,0.999936,45.00,0.000064,14.93,141,1
14,224,240,8x4x8,8,4,8,10048,0.998209,61.00,0.001791,19.50,174,1
14,224,240,8x8x8,8,8,8,6347,0.989601,81.00,0.010399,25.64,234,1
14,224,240,16x8x8,16,8,8,4136,0.962524,114.00,0.037476,35.44,341,0
