zone_id,ring_start,ring_end_exclusive,n_rings,rings,inner_T,outer_T,interval,size,bx,by,bz,n_pool,R_pool,R_min,low_sample_rings
0,0,1,1,0-0,0,16,"[0,16)",16x16x8,16,16,8,65,1.0,1.0,0
1,1,2,1,1-1,16,32,"[16,32)",8x4x8,8,4,8,2642,0.975776,0.975776,0
2,2,6,4,2-5,32,96,"[32,96)",4x4x8,4,4,8,92842,0.989315,0.983314,0
3,6,10,4,6-9,96,160,"[96,160)",8x4x8,8,4,8,62160,0.985328,0.974939,0
4,10,15,5,10-14,160,240,"[160,240)",8x8x8,8,8,8,37650,0.983001,0.974316,0
5,15,20,5,15-19,240,320,"[240,320)",16x8x8,16,8,8,15736,0.982206,0.97334,0
6,20,22,2,20-21,320,inf,"[320, inf)",16x16x8,16,16,8,3118,0.979795,0.971341,0
