scope,bin_lo,bin_hi,bin_label,n_blocks,pct
all,1,16,1-16,15154,0.2164393344283368
all,17,32,17-32,12205,0.17431978861672498
all,33,48,33-48,12628,0.18036135113904164
all,49,64,49-64,11201,0.1599800042847961
all,65,80,65-80,11784,0.16830679140184246
all,81,96,81-96,3846,0.05493108619581518
all,97,112,97-112,1766,0.025223166464329073
all,113,128,113-128,786,0.011226165821609655
all,129,144,129-144,321,0.0045847318431764626
all,145,160,145-160,134,0.0019138755980861245
all,161,176,161-176,84,0.0011997429122330928
all,177,192,177-192,49,0.0006998500321359709
all,193,208,193-208,34,0.00048561022638006143
all,209,224,209-224,8,0.00011426122973648504
all,225,240,225-240,7,9.99785760194244e-05
all,241,256,241-256,4,5.713061486824252e-05
all,257,272,257-272,4,5.713061486824252e-05
zone0,1,16,1-16,144,0.21207658321060383
zone0,17,32,17-32,152,0.22385861561119294
zone0,33,48,33-48,143,0.2106038291605302
zone0,49,64,49-64,121,0.17820324005891017
zone0,65,80,65-80,57,0.08394698085419734
zone0,81,96,81-96,30,0.044182621502209134
zone0,97,112,97-112,16,0.023564064801178203
zone0,113,128,113-128,8,0.011782032400589101
zone0,129,144,129-144,1,0.0014727540500736377
zone0,145,160,145-160,4,0.005891016200294551
zone0,161,176,161-176,3,0.004418262150220913
zone0,177,192,177-192,0,0.0
zone0,193,208,193-208,0,0.0
zone0,209,224,209-224,0,0.0
zone0,225,240,225-240,0,0.0
zone0,241,256,241-256,0,0.0
zone0,257,272,257-272,0,0.0
zone1,1,16,1-16,5579,0.15176409782106037
zone1,17,32,17-32,4786,0.13019232338619732
zone1,33,48,33-48,6689,0.18195914148146133
zone1,49,64,49-64,6974,0.18971192296183456
zone1,65,80,65-80,9136,0.24852425124452546
zone1,81,96,81-96,2313,0.06291994233018688
zone1,97,112,97-112,868,0.02361198008759283
zone1,113,128,113-128,305,0.008296836321101167
zone1,129,144,129-144,85,0.002312233073093768
zone1,145,160,145-160,19,0.0005168520986915481
zone1,161,176,161-176,7,0.00019041919425478087
zone1,177,192,177-192,0,0.0
zone1,193,208,193-208,0,0.0
zone1,209,224,209-224,0,0.0
zone1,225,240,225-240,0,0.0
zone1,241,256,241-256,0,0.0
zone1,257,272,257-272,0,0.0
zone2,1,16,1-16,3358,0.21029559118236474
zone2,17,32,17-32,3631,0.22739228456913826
zone2,33,48,33-48,3174,0.19877254509018036
zone2,49,64,49-64,2379,0.14898547094188377
zone2,65,80,65-80,1520,0.09519038076152304
zone2,81,96,81-96,864,0.05410821643286573
zone2,97,112,97-112,519,0.03250250501002004
zone2,113,128,113-128,284,0.01778557114228457
zone2,129,144,129-144,118,0.007389779559118236
zone2,145,160,145-160,57,0.0035696392785571143
zone2,161,176,161-176,30,0.00187875751503006
zone2,177,192,177-192,18,0.0011272545090180361
zone2,193,208,193-208,13,0.000814128256513026
zone2,209,224,209-224,2,0.000125250501002004
zone2,225,240,225-240,1,6.2625250501002e-05
zone2,241,256,241-256,0,0.0
zone2,257,272,257-272,0,0.0
zone3,1,16,1-16,6073,0.36568916721864275
zone3,17,32,17-32,3636,0.2189438188715602
zone3,33,48,33-48,2622,0.1578852291202505
zone3,49,64,49-64,1727,0.1039922924068164
zone3,65,80,65-80,1071,0.06449087734088035
zone3,81,96,81-96,639,0.038477750346239535
zone3,97,112,97-112,363,0.021858252544107906
zone3,113,128,113-128,189,0.011380743060155357
zone3,129,144,129-144,117,0.007045221894381887
zone3,145,160,145-160,54,0.003251640874330102
zone3,161,176,161-176,44,0.0026494851568615646
zone3,177,192,177-192,31,0.0018666827241524658
zone3,193,208,193-208,21,0.0012645270066839285
zone3,209,224,209-224,6,0.0003612934304811224
zone3,225,240,225-240,6,0.0003612934304811224
zone3,241,256,241-256,4,0.00024086228698741495
zone3,257,272,257-272,4,0.00024086228698741495
