frame_id,n_blocks,n_le_limit,coverage,reshape_frac,mean_nb,p95_nb,max_nb
000000,634,598,0.943217665615142,0.056782334384858045,34.82649842271293,131.35000000000002,385
000001,912,906,0.993421052631579,0.006578947368421052,23.907894736842106,58.349999999999795,214
000002,559,523,0.9355992844364938,0.06440071556350627,41.46153846153846,150.70000000000016,372
000003,616,583,0.9464285714285714,0.05357142857142857,35.9025974025974,129.25,304
000004,907,906,0.9988974641675854,0.0011025358324145535,22.814773980154357,53.099999999999795,143
000005,843,837,0.9928825622775801,0.0071174377224199285,24.202846975088967,59.89999999999998,191
000006,921,903,0.9804560260586319,0.019543973941368076,26.07274701411509,57.0,222
000007,1021,1018,0.9970617042115573,0.002938295788442703,20.515181194906955,48.0,163
000008,688,677,0.9840116279069767,0.015988372093023256,27.364825581395348,88.64999999999998,249
000009,904,902,0.9977876106194691,0.0022123893805309734,22.248893805309734,47.0,169
000010,862,854,0.9907192575406032,0.009280742459396751,22.324825986078885,53.899999999999864,181
000011,867,855,0.986159169550173,0.01384083044982699,26.348327566320645,61.69999999999993,341
000012,856,852,0.9953271028037384,0.004672897196261682,21.580607476635514,46.0,211
000013,1060,1055,0.9952830188679245,0.0047169811320754715,19.317924528301887,60.049999999999955,182
000014,972,968,0.9958847736625515,0.00411522633744856,21.032921810699587,59.44999999999993,252
000015,824,807,0.9793689320388349,0.02063106796116505,24.79247572815534,82.84999999999991,241
000016,860,851,0.9895348837209302,0.010465116279069767,25.05581395348837,59.0,260
000017,921,919,0.997828447339848,0.002171552660152009,22.27470141150923,47.0,168
000018,900,897,0.9966666666666667,0.0033333333333333335,20.803333333333335,52.0,158
000019,588,562,0.95578231292517,0.04421768707482993,34.12244897959184,116.49999999999977,318
000020,660,625,0.946969696969697,0.05303030303030303,35.84090909090909,133.0999999999999,321
000021,713,690,0.967741935483871,0.03225806451612903,32.22159887798036,86.39999999999998,391
000022,721,702,0.9736477115117892,0.026352288488210817,28.287101248266296,79.0,289
000023,931,926,0.9946294307196563,0.0053705692803437165,23.53813104189044,60.0,276
000024,823,813,0.9878493317132442,0.012150668286755772,27.58809234507898,72.89999999999998,265
000025,635,615,0.968503937007874,0.031496062992125984,30.15748031496063,105.0,216
000026,644,621,0.9642857142857143,0.03571428571428571,32.6444099378882,100.0,375
000027,587,574,0.9778534923339012,0.022146507666098807,28.41396933560477,76.79999999999973,345
000028,646,612,0.9473684210526315,0.05263157894736842,34.205882352941174,131.5,409
000029,608,576,0.9473684210526315,0.05263157894736842,37.2171052631579,132.5999999999999,424
000030,531,506,0.9529190207156308,0.047080979284369114,39.177024482109225,128.0,270
000031,766,746,0.9738903394255874,0.02610966057441253,28.409921671018278,88.0,346
000032,782,769,0.9833759590792839,0.016624040920716114,28.831202046035806,80.89999999999986,301
000033,829,829,1.0,0.0,21.86248492159228,49.0,91
000034,912,911,0.9989035087719298,0.0010964912280701754,24.705043859649123,62.44999999999993,159
000035,1020,1008,0.9882352941176471,0.011764705882352941,23.21764705882353,62.09999999999991,254
000036,886,881,0.9943566591422122,0.0056433408577878106,18.87923250564334,42.75,243
000037,634,627,0.9889589905362776,0.011041009463722398,30.105678233438486,84.70000000000005,247
000038,883,876,0.9920724801812004,0.007927519818799546,21.800679501698756,53.0,219
000039,561,539,0.9607843137254902,0.0392156862745098,36.66131907308378,114.0,299
000040,837,827,0.98805256869773,0.011947431302270013,26.47431302270012,68.0,342
000041,971,964,0.9927909371781668,0.007209062821833162,23.4346035015448,55.0,172
000042,888,874,0.9842342342342343,0.015765765765765764,25.53265765765766,57.64999999999998,325
000043,813,793,0.97539975399754,0.024600246002460024,30.095940959409592,103.59999999999991,309
000044,1089,1084,0.9954086317722681,0.004591368227731864,19.44260789715335,61.0,203
000045,902,900,0.9977827050997783,0.0022172949002217295,23.47228381374723,53.94999999999993,146
000046,757,744,0.9828269484808454,0.017173051519154558,27.653896961690887,80.19999999999993,231
000047,730,721,0.9876712328767123,0.012328767123287671,29.13150684931507,91.0,315
000048,845,825,0.9763313609467456,0.023668639053254437,26.0508875739645,81.39999999999986,387
000049,750,734,0.9786666666666667,0.021333333333333333,26.941333333333333,74.74999999999977,312
000050,606,578,0.9537953795379538,0.0462046204620462,37.53135313531353,110.0,470
000051,929,926,0.9967707212055974,0.0032292787944025836,21.72335844994618,46.0,200
000052,830,816,0.983132530120482,0.016867469879518072,25.318072289156625,69.54999999999995,317
000053,662,648,0.9788519637462235,0.021148036253776436,26.959214501510573,77.94999999999993,223
000054,649,615,0.9476117103235747,0.05238828967642527,34.154083204930664,132.20000000000005,305
000055,1007,1005,0.9980139026812314,0.0019860973187686196,20.988083416087388,52.0,191
000056,1108,1108,1.0,0.0,18.05956678700361,54.649999999999864,125
000057,651,629,0.9662058371735791,0.03379416282642089,33.044546850998465,112.0,311
000058,649,615,0.9476117103235747,0.05238828967642527,34.12018489984592,129.60000000000002,396
000059,991,991,1.0,0.0,20.764883955600403,48.0,125
000060,1027,1023,0.9961051606621227,0.0038948393378773127,21.473222979552094,55.69999999999993,175
000061,665,647,0.9729323308270676,0.02706766917293233,30.49624060150376,94.59999999999991,293
000062,623,600,0.9630818619582665,0.03691813804173355,32.80096308186196,102.0,406
000063,641,620,0.9672386895475819,0.0327613104524181,33.30733229329173,95.0,442
