scope,bin_lo,bin_hi,bin_label,n_blocks,pct
all,1,16,1-16,105546,0.3492922881414828
all,17,32,17-32,81846,0.27085987735421335
all,33,48,33-48,47806,0.15820843164962886
all,49,64,49-64,23386,0.07739326407894867
all,65,80,65-80,14883,0.04925356834375238
all,81,96,81-96,8993,0.029761294101684144
all,97,112,97-112,6077,0.02011112912887074
all,113,128,113-128,4159,0.0137637298086183
all,129,144,129-144,2776,0.009186851153816879
all,145,160,145-160,1752,0.005798041506299413
all,161,176,161-176,1214,0.004017592687584183
all,177,192,177-192,877,0.0029023301375711106
all,193,208,193-208,703,0.0023264972482468535
all,209,224,209-224,524,0.001734117436815578
all,225,240,225-240,404,0.001336991306247125
all,241,256,241-256,285,0.0009431745601000758
all,257,272,257-272,212,0.0007015894973376002
all,273,288,273-288,144,0.00047655135668214354
all,289,304,289-304,134,0.0004434575124681058
all,305,320,305-320,113,0.00037396043961862655
all,321,336,321-336,55,0.0001820161431772076
all,337,352,337-352,76,0.00025151321602668686
all,353,368,353-368,51,0.0001687786054915925
all,369,384,369-384,48,0.00015885045222738118
all,385,400,385-400,29,9.597214822070946e-05
all,401,416,401-416,18,5.956891958526794e-05
all,417,432,417-432,11,3.640322863544152e-05
all,433,448,433-448,18,5.956891958526794e-05
all,449,464,449-464,10,3.309384421403775e-05
all,465,480,465-480,9,2.978445979263397e-05
all,481,496,481-496,3,9.928153264211324e-06
all,497,512,497-512,4,1.32375376856151e-05
all,513,528,513-528,0,0.0
all,529,544,529-544,1,3.309384421403775e-06
all,545,560,545-560,2,6.61876884280755e-06
all,561,576,561-576,2,6.61876884280755e-06
zone0,1,16,1-16,47112,0.26509115462525323
zone0,17,32,17-32,47685,0.26831532748143144
zone0,33,48,33-48,32516,0.1829619626378573
zone0,49,64,49-64,16902,0.09510465901417961
zone0,65,80,65-80,11629,0.06543439117713257
zone0,81,96,81-96,6964,0.03918523520144047
zone0,97,112,97-112,4633,0.026069097456673417
zone0,113,128,113-128,3176,0.017870808012604097
zone0,129,144,129-144,2085,0.011731937879810939
zone0,145,160,145-160,1240,0.006977267611973891
zone0,161,176,161-176,858,0.004827819041188387
zone0,177,192,177-192,639,0.0035955435516542874
zone0,193,208,193-208,518,0.0029146972766148998
zone0,209,224,209-224,411,0.002312626603646185
zone0,225,240,225-240,305,0.001716182759396804
zone0,241,256,241-256,232,0.0013054242628854377
zone0,257,272,257-272,167,0.0009396803961287418
zone0,273,288,273-288,112,0.0006302048165653838
zone0,289,304,289-304,110,0.0006189511591267162
zone0,305,320,305-320,100,0.0005626828719333784
zone0,321,336,321-336,52,0.00029259509340535673
zone0,337,352,337-352,72,0.0004051316677920324
zone0,353,368,353-368,49,0.0002757146072473554
zone0,369,384,369-384,47,0.0002644609498086878
zone0,385,400,385-400,29,0.00016317803286067971
zone0,401,416,401-416,18,0.0001012829169480081
zone0,417,432,417-432,10,5.6268287193337834e-05
zone0,433,448,433-448,18,0.0001012829169480081
zone0,449,464,449-464,10,5.6268287193337834e-05
zone0,465,480,465-480,9,5.064145847400405e-05
zone0,481,496,481-496,3,1.688048615800135e-05
zone0,497,512,497-512,4,2.2507314877335133e-05
zone0,513,528,513-528,0,0.0
zone0,529,544,529-544,1,5.626828719333783e-06
zone0,545,560,545-560,2,1.1253657438667566e-05
zone0,561,576,561-576,2,1.1253657438667566e-05
zone1,1,16,1-16,32333,0.4293377949514666
zone1,17,32,17-32,22888,0.3039211780796452
zone1,33,48,33-48,10145,0.13471165464951068
zone1,49,64,49-64,3550,0.047139120158281214
zone1,65,80,65-80,1991,0.02643774316482758
zone1,81,96,81-96,1234,0.016385823739526486
zone1,97,112,97-112,924,0.012269449866549815
zone1,113,128,113-128,630,0.008365533999920328
zone1,129,144,129-144,452,0.006001938679307918
zone1,145,160,145-160,331,0.004395225006307347
zone1,161,176,161-176,257,0.003412606726951626
zone1,177,192,177-192,166,0.002204251815852023
zone1,193,208,193-208,135,0.001792614428554356
zone1,209,224,209-224,82,0.0010888472825293127
zone1,225,240,225-240,64,0.0008498320253887317
zone1,241,256,241-256,40,0.0005311450158679573
zone1,257,272,257-272,32,0.00042491601269436586
zone1,273,288,273-288,21,0.0002788511333306776
zone1,289,304,289-304,15,0.000199179380950484
zone1,305,320,305-320,10,0.00013278625396698934
zone1,321,336,321-336,3,3.98358761900968e-05
zone1,337,352,337-352,3,3.98358761900968e-05
zone1,353,368,353-368,2,2.6557250793397866e-05
zone1,369,384,369-384,0,0.0
zone1,385,400,385-400,0,0.0
zone1,401,416,401-416,0,0.0
zone1,417,432,417-432,1,1.3278625396698933e-05
zone1,433,448,433-448,0,0.0
zone1,449,464,449-464,0,0.0
zone1,465,480,465-480,0,0.0
zone1,481,496,481-496,0,0.0
zone1,497,512,497-512,0,0.0
zone1,513,528,513-528,0,0.0
zone1,529,544,529-544,0,0.0
zone1,545,560,545-560,0,0.0
zone1,561,576,561-576,0,0.0
zone2,1,16,1-16,12105,0.4790833894011952
zone2,17,32,17-32,6286,0.24878299758578382
zone2,33,48,33-48,2942,0.11643645862191791
zone2,49,64,49-64,1819,0.07199113468160051
zone2,65,80,65-80,711,0.028139470455534887
zone2,81,96,81-96,462,0.01828471919895516
zone2,97,112,97-112,299,0.011833616970752366
zone2,113,128,113-128,205,0.008113349428107808
zone2,129,144,129-144,129,0.005105473542565402
zone2,145,160,145-160,114,0.00451181382831361
zone2,161,176,161-176,61,0.002414216171290616
zone2,177,192,177-192,45,0.0017809791427553727
zone2,193,208,193-208,20,0.0007915462856690545
zone2,209,224,209-224,18,0.000712391657102149
zone2,225,240,225-240,18,0.000712391657102149
zone2,241,256,241-256,7,0.0002770411999841691
zone2,257,272,257-272,10,0.0003957731428345272
zone2,273,288,273-288,7,0.0002770411999841691
zone2,289,304,289-304,6,0.00023746388570071634
zone2,305,320,305-320,1,3.957731428345273e-05
zone2,321,336,321-336,0,0.0
zone2,337,352,337-352,1,3.957731428345273e-05
zone2,353,368,353-368,0,0.0
zone2,369,384,369-384,1,3.957731428345273e-05
zone2,385,400,385-400,0,0.0
zone2,401,416,401-416,0,0.0
zone2,417,432,417-432,0,0.0
zone2,433,448,433-448,0,0.0
zone2,449,464,449-464,0,0.0
zone2,465,480,465-480,0,0.0
zone2,481,496,481-496,0,0.0
zone2,497,512,497-512,0,0.0
zone2,513,528,513-528,0,0.0
zone2,529,544,529-544,0,0.0
zone2,545,560,545-560,0,0.0
zone2,561,576,561-576,0,0.0
zone3,1,16,1-16,13996,0.5862198952879581
zone3,17,32,17-32,4987,0.20887958115183247
zone3,33,48,33-48,2203,0.09227225130890053
zone3,49,64,49-64,1115,0.046701570680628274
zone3,65,80,65-80,552,0.02312041884816754
zone3,81,96,81-96,333,0.013947643979057591
zone3,97,112,97-112,221,0.009256544502617802
zone3,113,128,113-128,148,0.006198952879581152
zone3,129,144,129-144,110,0.004607329842931937
zone3,145,160,145-160,67,0.002806282722513089
zone3,161,176,161-176,38,0.0015916230366492146
zone3,177,192,177-192,27,0.0011308900523560208
zone3,193,208,193-208,30,0.001256544502617801
zone3,209,224,209-224,13,0.0005445026178010471
zone3,225,240,225-240,17,0.0007120418848167539
zone3,241,256,241-256,6,0.00025130890052356024
zone3,257,272,257-272,3,0.00012565445026178012
zone3,273,288,273-288,4,0.0001675392670157068
zone3,289,304,289-304,3,0.00012565445026178012
zone3,305,320,305-320,2,8.37696335078534e-05
zone3,321,336,321-336,0,0.0
zone3,337,352,337-352,0,0.0
zone3,353,368,353-368,0,0.0
zone3,369,384,369-384,0,0.0
zone3,385,400,385-400,0,0.0
zone3,401,416,401-416,0,0.0
zone3,417,432,417-432,0,0.0
zone3,433,448,433-448,0,0.0
zone3,449,464,449-464,0,0.0
zone3,465,480,465-480,0,0.0
zone3,481,496,481-496,0,0.0
zone3,497,512,497-512,0,0.0
zone3,513,528,513-528,0,0.0
zone3,529,544,529-544,0,0.0
zone3,545,560,545-560,0,0.0
zone3,561,576,561-576,0,0.0
