record_name,module_name,source,layer_type,indice_key,spatial_shape_zyx,feature_shape_nc,active_voxels,channels,total_elements,zero_elements,nonzero_elements,zero_ratio,nonzero_ratio,avg_zero_channels_per_voxel,avg_nonzero_channels_per_voxel,all_zero_voxel_ratio,zero_channel_ratio_p50,zero_channel_ratio_p90,zero_channel_ratio_p95,zero_channel_ratio_p99,zero_channel_ratio_max
input_voxel_features,conv_input,backbone_input,InputFeatures,,41x1600x1408,15000x4,15000,4,60000,2198,57802,0.03663333333333333,0.9633666666666667,0.14653334021568298,3.853466659784317,0.0,0.0,0.25,0.25,0.25,0.5
conv_input,conv_input.0,layer_input,SubMConv3d,subm1,41x1600x1408,15000x4,15000,4,60000,2198,57802,0.03663333333333333,0.9633666666666667,0.14653334021568298,3.853466659784317,0.0,0.0,0.25,0.25,0.25,0.5
conv1.0,conv1.0.0,layer_input,SubMConv3d,subm1,41x1600x1408,15000x16,15000,16,240000,110599,129401,0.4608291666666667,0.5391708333333334,7.373266696929932,8.626733303070068,0.0,0.5,0.625,0.6875,0.75,0.875
conv2.0,conv2.0.0,layer_input,SparseConv3d,spconv2,41x1600x1408,15000x16,15000,16,240000,110372,129628,0.4598833333333333,0.5401166666666667,7.358133316040039,8.641866683959961,0.0004000000189989805,0.4375,0.75,0.8125,0.875,1.0
conv2.1,conv2.1.0,layer_input,SubMConv3d,subm2,21x800x704,20740x32,20740,32,663680,310979,352701,0.4685676832208293,0.5314323167791707,14.994165420532227,17.005834579467773,0.0,0.46875,0.59375,0.625,0.71875,0.84375
conv2.2,conv2.2.0,layer_input,SubMConv3d,subm2,21x800x704,20740x32,20740,32,663680,378248,285432,0.5699252651880424,0.43007473481195757,18.237607955932617,13.762392044067383,0.0,0.59375,0.75,0.8125,0.875,0.96875
conv3.0,conv3.0.0,layer_input,SparseConv3d,spconv3,21x800x704,20740x32,20740,32,663680,356004,307676,0.536409112825458,0.46359088717454194,17.165090560913086,14.834909439086914,0.0,0.5625,0.71875,0.78125,0.84375,0.9375
conv3.1,conv3.1.0,layer_input,SubMConv3d,subm3,11x400x352,11089x64,11089,64,709696,391425,318271,0.5515389687979079,0.4484610312020922,35.298492431640625,28.701507568359375,0.0,0.546875,0.6875,0.734375,0.796875,0.875
conv3.2,conv3.2.0,layer_input,SubMConv3d,subm3,11x400x352,11089x64,11089,64,709696,486097,223599,0.684936930742177,0.31506306925782307,43.83596420288086,20.16403579711914,0.0,0.703125,0.828125,0.84375,0.890625,0.953125
conv4.0,conv4.0.0,layer_input,SparseConv3d,spconv4,11x400x352,11089x64,11089,64,709696,524866,184830,0.7395645459464334,0.2604354540535666,47.332130432128906,16.667869567871094,9.017945558298379e-05,0.765625,0.875,0.890625,0.921875,1.0
conv4.1,conv4.1.0,layer_input,SubMConv3d,subm4,5x200x176,4393x64,4393,64,281152,163822,117330,0.5826812542681539,0.41731874573184613,37.29159927368164,26.70840072631836,0.0,0.578125,0.734375,0.765625,0.828125,0.890625
conv4.2,conv4.2.0,layer_input,SubMConv3d,subm4,5x200x176,4393x64,4393,64,281152,183832,97320,0.6538527202367402,0.3461472797632597,41.84657287597656,22.153427124023438,0.0,0.671875,0.796875,0.8125,0.859375,0.9375
conv_out,conv_out.0,layer_input,SparseConv3d,spconv_down2,5x200x176,4393x64,4393,64,281152,180695,100457,0.6426950546323696,0.3573049453676303,41.13248062133789,22.86751937866211,0.0,0.640625,0.765625,0.78125,0.828125,0.921875
